resp_id,city,area,interviewer,int_date,gender,age,educ,employ,marital,hh_size,hh_income,migrant,yrs_nbhd,trust1,trust2,trust3,trust4,trust5,civic_meet,civic_vol,civic_petition,civic_contact,civic_protest,belong,life_sat,health,internet,sm_hours,discrim,vote,wt,q_challenge,q_connect
1016,1,1,INT01,2025-01-13,2,32,6,1,2,6,65000,0,11,3,5,2,3,4,1,0,0,1,0,3,10,5,1,2.0,0,0,0.665,"The lane to the station is dark and lonely, I always call someone while walking. I have started taking an auto even for a short distance. Garbage is not collected regularly and it piles up at the corner of the road. Please do something about it.",I think mahila mandal meetings in the afternoon when we are free from housework. Our self-help group gave me friends and some savings. Otherwise everyone is in their own world.
1017,1,1,INT01,2025-01-13,1,48,6,3,2,6,22500,1,8,4,4,3,5,5,0,0,0,0,0,4,9,4,1,2.0,0,0,1.195,"For me, traffic is terrible, it takes me 3 hours to go to office and come back.",knowing neighbours
1018,1,1,INT02,2025-01-13,1,26,5,1,2,4,51500,1,6,3,5,3,8,4,0,0,0,0,0,3,7,5,1,1.0,0,0,0.787,"Housing is too expensive, young couples cannot afford to live near their parents. Apart from that, the garbage van comes maybe twice a week, so everyone just dumps it outside.","For me, if people greeted each other and stopped judging tenants. When my father was in hospital not a single neighbour asked. That would make a big difference."
1019,1,1,INT03,2025-01-13,1,83,2,7,2,6,7000,0,37,5,5,2,4,5,0,0,0,1,0,4,9,3,0,0.0,0,1,0.952,"no parks, flooding in monsoon","knowing neighbours, community hall"
1020,1,2,INT01,2025-01-14,1,58,2,3,2,6,12000,0,33,1,5,3,2,2,0,0,0,0,0,2,6,2,0,0.0,0,1,1.054,NA,"football or cricket tournaments between lanes, the young people would connect. our club used to run a library but it closed after the old members died. that would make a big difference"
1021,1,1,INT02,2025-01-14,2,42,5,6,2,6,49500,0,20,3,3,4,2,2,1,0,0,1,1,2,8,4,1,1.0,0,0,0.618,"To be honest, we need green space, every inch has been built over. Rain water has nowhere to go because all the ponds were filled up for buildings. And loudspeakers during every function and procession, nobody can sleep.","According to me, a local office where you can go without a middleman. Most of our energy goes in fighting for basic things. Otherwise everyone is in their own world"
1022,1,1,INT02,2025-01-14,3,82,4,6,4,5,999999,0,64,2,4,3,4,5,1,0,0,1,0,3,5,3,1,0.0,0,1,0.612,no parks,"I think owning a house, even a small one. As a tenant you always feel temporary. Tenants are never seen as real members of the para. Second thing, someone to check on elderly people who live alone. It is not difficult, someone just has to start."
1023,1,1,INT03,2025-01-14,2,29,6,6,2,3,92500,0,18,4,3,4,1,4,0,0,0,0,0,3,8,4,1,1.5,0,0,0.757,"see, there are no community programmes any more, people just stay inside their flats","Log thoda friendly ho jaayein toh apnapan lagega. Classes for tailoring or computers for women, we would get to know each other."
1024,1,2,INT03,2025-01-15,1,31,5,3,2,3,21000,1,14,2,2,5,2,2,1,0,0,1,0,2,7,4,1,3.5,0,1,1.51,"traffic ka koi solution nahi hai, office jaane mein hi do ghante lag jaate hai",a ward committee that meets every month and shares what the corporation is doing
1025,1,1,INT01,2025-01-16,2,69,1,6,2,9,8000,0,30,5,3,1,3,2,0,0,0,0,0,4,4,1,0,0.0,0,0,0.54,The streetlight in front of our house has been broken for 5 years.,Responsive councillor
1026,1,2,INT01,2025-01-16,1,44,4,3,2,2,16000,1,27,1,3,3,4,3,0,0,0,1,0,4,7,4,1,1.5,0,1,1.255,open drains,If we celebrated festivals together as one locality instead of separately. CCTV and a local help desk would make people feel secure to step out.
1027,1,2,INT01,2025-01-16,2,78,3,7,4,6,18000,0,42,3,4,4,4,4,1,1,0,0,0,4,3,2,0,0.0,0,1,1.117,Public toilets are dirty and there are not enough of them.,"Actually a laughter club or a bhajan group for older people. All our children are abroad or in other cities, we are alone."
1028,1,1,INT01,2025-01-16,1,49,5,1,2,4,24500,1,4,2,4,4,3,3,0,0,1,1,0,2,6,4,1,1.0,0,1,1.179,"sob jaigay ghush dite hoy, dada dhorte hoy","Respect for all communities, the young people are being poisoned by social media."
1029,1,1,INT02,2025-01-16,2,30,6,3,2,2,60500,0,12,5,4,3,4,4,1,0,1,0,0,4,8,4,1,2.5,0,0,0.418,"There is no community hall or common place where people can meet. Plus there is no work nearby, the youth have to go to other states. Also air pollution is very bad, in winter you cannot even see the next building.",Biggest thing is a place where women can come together without needing permission from anyone.
1030,1,1,INT03,2025-01-16,1,29,3,1,2,2,12000,0,13,4,4,3,4,5,0,0,0,0,0,3,8,4,1,1.5,0,0,0.952,"Unemployment among young people is the main problem, it leads to drinking and fights.","A councillor who comes and listens, not only during elections."
1031,1,1,INT01,2025-01-17,1,74,2,7,4,2,36500,0,46,4,5,1,4,5,0,1,1,1,0,4,5,2,0,0.0,0,1,0.99,pollution,"I think the association should be run democratically, not by the same two families."
1032,1,1,INT01,2025-01-17,1,32,5,3,2,2,20500,0,16,4,4,2,3,4,0,0,0,0,0,4,9,5,1,1.5,0,0,1.064,monsoon flooding,More community events
1033,1,2,INT01,2025-01-17,2,38,5,2,2,8,16000,1,8,4,3,8,3,4,0,0,0,0,0,4,4,3,1,1.5,0,0,1.055,"There is no proper sewer line, the waste water stands in the lane.",cultural programmes
1034,1,1,INT02,2025-01-18,2,53,2,6,1,5,5000,0,18,2,4,2,3,3,0,0,0,0,0,4,6,2,0,0.0,0,0,0.707,"According to me, old people have nowhere to walk in the evening. During the monsoon the whole road goes under knee-deep water","A cleanliness drive where everyone participates, owners and tenants together"
1035,1,1,INT02,2025-01-18,2,83,3,6,2,4,8500,0,30,4,5,2,4,3,0,0,1,0,0,4,7,3,0,0.0,0,1,0.632,don't know,A ward committee that meets every month and shares what the Corporation is doing.
1036,1,1,INT02,2025-01-18,1,85,4,7,4,4,6000,0,20,5,5,2,9,5,1,0,1,1,0,4,5,3,1,1.0,0,1,1.069,"Biggest thing is people throw waste in the open plot next to our building and it stinks. On top of that, contracts go to relatives of the party people.",Biggest thing is regular meetings where ordinary people can raise problems and actually be heard. Right now decisions are taken and we are just told to pay.
1037,1,1,INT02,2025-01-18,2,50,3,4,2,4,999999,1,1,3,2,5,3,2,0,0,0,0,0,1,4,4,1,1.5,0,0,0.896,no parks,Meeting mein sabki baat suni jaaye toh accha hai. Mahila mandal meetings in the afternoon when we are free from housework.
1038,1,1,INT01,2025-01-19,1,35,2,2,2,3,7500,0,17,5,4,2,3,4,1,0,1,0,0,3,8,4,1,4.5,0,0,0.713,"no open space, drainage",most important is more cultural programmes where families can come together. when i was a child the whole locality would sit together for the puja bhog. then it would feel like home
1039,1,1,INT01,2025-01-19,1,34,2,2,2,3,22000,0,16,4,4,4,4,2,0,0,0,0,0,4,6,3,1,1.5,0,0,1.338,No regular water,"regular get-togethers, even a monthly potluck would help"
1040,1,2,INT01,2025-01-19,1,55,2,1,1,6,11500,0,34,4,2,3,3,3,0,0,0,1,0,4,5,1,0,0.0,0,1,1.293,"Summer mein paani bilkul nahi aata, daily cans lene padte hai. Bachchon ke khelne ke liye koi ground nahi hai.",Don't know
1041,1,1,INT01,2025-01-20,2,29,1,6,2,5,6000,1,5,3,3,4,4,4,1,0,0,0,0,3,8,3,0,0.0,0,0,0.776,"ময়লা ঠিকমতো তোলা হয় না, আর ড্রেন সবসময় বন্ধ থাকে।",common space
1042,1,1,INT02,2025-01-20,1,35,3,3,2,7,34500,1,8,2,3,3,3,2,0,0,0,0,0,1,2,4,1,1.0,0,0,0.699,Builders are taking over every open plot and prices are only for rich people.,"Actually regular get-togethers, even a monthly potluck would help."
1043,1,1,INT02,2025-01-20,1,23,4,5,2,2,5000,1,6,3,2,1,5,4,1,1,0,0,0,4,6,4,1,3.0,1,0,0.891,Don't know,"Festivals together, responsive councillor"
1044,1,2,INT02,2025-01-20,2,38,1,3,2,5,9500,0,19,4,4,5,2,3,0,0,0,0,0,4,6,4,0,0.0,1,0,0.739,"We depend on tankers for drinking water and they charge 1000 rupees a trip. Second thing, there is no proper dustbin anywhere in the area.",
1045,1,1,INT03,2025-01-20,2,73,2,6,2,8,13500,0,18,4,4,5,3,4,0,1,0,0,0,2,5,2,0,0.0,0,0,0.823,নতুন ভাড়াটেদের সাথে পুরোনো বাসিন্দাদের তেমন আলাপ নেই।,"Safe public transport so that I can attend things in the evening. Regular get-togethers, even a monthly potluck would help."
1046,1,2,INT03,2025-01-20,1,75,2,7,4,5,5500,0,33,3,4,3,4,2,0,1,1,0,0,4,5,4,0,0.0,0,0,1.138,"Water ka timing fixed nahi hai, kabhi subah kabhi raat",WhatsApp group
1047,1,1,INT01,2025-01-21,2,34,5,3,2,5,38000,0,24,5,5,3,3,2,0,0,0,0,0,3,8,4,1,3.5,0,0,0.608,The park we have is locked most of the time and full of weeds.,Working together on something practical like cleaning the drain would build trust. Once we cleaned the pond together and people still talk about that day.
1048,1,1,INT01,2025-01-21,1,51,3,1,2,5,33000,0,37,4,3,2,5,2,0,1,0,0,1,4,8,3,0,0.0,0,1,0.669,"To be honest, road repair money is eaten up, the same road is dug up every year. Plus construction noise goes on day and night.","Frankly speaking, celebrating each other's festivals, Eid, Diwali, Christmas, Pongal, all of them."
1049,1,1,INT02,2025-01-21,3,38,5,6,1,2,8500,0,19,3,3,3,1,2,1,0,0,0,0,4,6,3,1,3.5,0,0,0.814,"Biggest thing is there are no community programmes any more, people just stay inside their flats.",I already feel connected
1050,1,1,INT02,2025-01-21,1,53,1,3,2,6,20000,0,12,1,4,2,1,4,0,0,0,0,0,3,5,2,1,3.0,0,0,0.71,"To be honest, sanitation is very poor, the sweepers hardly come to our side. My children fell sick with dengue last year. The rest is okay",common space
1051,1,1,INT03,2025-01-21,1,45,6,1,2,5,95500,0,30,5,4,3,5,3,1,0,0,1,0,4,10,3,1,1.0,0,1,0.84,"Safety at night is the biggest issue, especially for working women coming back late. The only open ground was taken for a parking lot.",Political parties should stop dividing the area for votes.
1052,1,1,INT03,2025-01-21,1,41,4,1,2,6,30000,0,23,4,4,3,2,3,0,0,0,0,0,4,9,3,1,2.0,0,1,1.482,traffic,"Transparency in how ward funds are spent, maybe a notice board. Participatory budgeting like some cities have tried would be good. It is not difficult, someone just has to start."
1053,1,2,INT03,2025-01-21,2,32,5,6,2,3,18000,1,13,3,3,3,2,4,0,0,0,0,0,2,9,5,1,1.0,1,1,1.177,"According to me, the lane to the station is dark and lonely, I always call someone while walking.","Classes for tailoring or computers for women, we would get to know each other. Most women here only meet at the water tap. Basic services working properly, water, roads and lights, then people have time for each other"
1054,1,1,INT02,2025-01-22,2,40,4,6,2,3,21000,0,8,1,2,5,2,3,0,0,0,0,0,1,3,4,1,1.0,0,0,0.93,There is no community hall or common place where people can meet. The puja committee is now run by a few people only. Also getting enough clean water for the family is the main struggle.,"celebrating each other's festivals, eid, diwali, christmas, pongal, all of them. people only meet at weddings and funerals now. that would make a big difference"
1055,1,1,INT02,2025-01-22,1,42,1,3,3,3,7000,0,9,2,1,4,2,2,1,0,0,0,0,3,5,2,1,4.0,0,1,1.008,"The low-lying part of the para floods every year and nobody plans for it. On top of that, educated girls sit at home because there are no suitable jobs.",nothing really
1056,1,2,INT02,2025-01-22,1,,1,3,2,5,15500,1,4,1,2,5,1,3,0,0,0,0,0,2,6,3,1,0.5,0,0,1.396,nothing much,"Something for teenagers to do in the evening other than sitting on the phone. Some programme where locals and outsiders can meet, not just live side by side."
1057,1,2,INT01,2025-01-23,1,26,4,1,2,4,58000,1,5,4,5,8,4,4,0,0,0,0,0,2,4,3,1,3.0,0,0,0.641,"For me, during the monsoon the whole road goes under knee-deep water.",stable rent
1058,1,1,INT02,2025-01-23,1,28,3,3,2,2,999999,0,5,2,2,4,3,8,0,0,0,0,0,3,7,2,1,2.5,0,0,0.741,ছোটদের খেলার মাঠ নেই।,Ekta boshar jaiga thakle adda hoto.
1059,1,1,INT03,2025-01-23,1,66,3,7,2,2,10500,0,46,5,5,2,4,5,1,1,0,0,0,3,6,3,0,0.0,0,1,0.806,"honestly, educated girls sit at home because there are no suitable jobs. some of them fall into bad company. every house has two cars now but the lanes are the same width as thirty years ago. nobody cares",Councillor saab kabhi aate hi nahi.
1060,1,1,INT03,2025-01-23,2,54,4,4,2,4,13000,0,23,4,3,4,2,4,0,0,0,0,0,4,5,3,1,1.5,1,0,0.738,Kids are stuck indoors on phones because there is no place to play.,"Regular get-togethers, even a monthly potluck would help."
1061,1,1,INT03,2025-01-23,2,21,4,1,2,6,33000,0,9,4,4,4,2,4,0,0,0,1,0,3,7,4,1,3.0,1,0,0.467,রাতে মেয়েদের একা ফিরতে ভয় লাগে।,"A park or common place where people can sit and talk in the evening. In the old days the rowak outside the houses was where everybody met. Along with that, celebrating each other's festivals, Eid, Diwali, Christmas, Pongal, all of them. People only meet at weddings and funerals now. It is not difficult, someone just has to start."
1062,1,2,INT03,2025-01-23,2,40,1,6,2,6,3000,0,23,2,3,2,3,4,0,0,0,0,0,4,3,2,0,0.0,0,0,0.991,"খাবার জলের খুব সমস্যা, কলে ঠিকমতো জল আসে না।","See, community events on weekends when working people are free."
1063,1,1,INT01,2025-01-24,1,35,6,3,2,2,38000,0,16,2,3,4,4,3,0,0,0,0,0,2,8,4,1,2.5,1,0,1.192,"Water supply is very irregular, sometimes we get it for only one hour in the morning. Air pollution is very bad, in winter you cannot even see the next building.","Frankly speaking, benches and a walking track, that is where you actually meet neighbours. Along with that, something for teenagers to do in the evening other than sitting on the phone."
1064,1,1,INT02,2025-01-24,1,57,5,1,2,5,29500,0,39,2,5,3,3,2,0,1,0,0,1,4,7,3,1,1.0,0,1,0.897,Nali hamesha choke rehti hai,Fair rent agreements so that we are not thrown out suddenly.
1065,1,1,INT02,2025-01-24,1,50,1,1,2,4,6500,0,7,8,2,4,3,3,0,0,0,0,0,1,3,4,0,0.0,0,0,0.922,"Khelar math nei, bachchara rastay khele.",sab milke tyohar manaye toh accha lagega
1066,1,1,INT03,2025-01-24,2,48,1,4,4,5,6500,0,10,2,2,5,3,3,0,1,0,1,0,4,,3,1,1.5,0,0,0.765,Bachchon ke khelne ke liye koi ground nahi hai.,Log thoda friendly ho jaayein toh apnapan lagega.
1067,1,2,INT03,2025-01-24,2,25,5,1,2,6,14500,1,8,5,5,8,4,4,0,1,0,0,0,3,7,5,1,1.5,1,0,1.029,actually men drink openly near the empty plot and women avoid that road. there is always the fear of eviction because nobody has a proper agreement,"CCTV and a local help desk would make people feel secure to step out. Apart from that, if people accepted us even though we do not speak the local language well. A proper WhatsApp group for the area where information is shared, not only forwards."
1068,1,2,INT01,2025-01-25,1,33,4,4,2,8,25000,0,17,4,1,4,3,4,1,0,0,0,0,3,5,3,1,1.0,1,0,1.2,"For me, smoke from burning garbage makes breathing difficult in the evening. Another thing is I do not let my daughter come home alone after seven in the evening.",Sports day or a small fair for the children would bring people out of their homes.
1069,1,1,INT02,2025-01-25,2,40,3,6,2,5,10500,1,17,2,4,5,3,1,1,0,0,0,0,4,5,3,0,0.0,1,0,0.684,Cannot say,People should not make fun of our accent or our food. If the Corporation actually responded to complaints I would feel this place is mine.
1070,1,1,INT03,2025-01-25,1,43,5,1,2,6,999999,0,28,3,2,4,3,4,0,1,1,1,0,3,7,4,1,1.5,0,1,0.714,"factories around here have closed, so there is no local employment. water supply is very irregular, sometimes we get it for only one hour in the morning","Regular get-togethers, even a monthly potluck would help. When I was a child the whole locality would sit together for the puja bhog. Also a cleanliness drive where everyone participates, owners and tenants together. That would make a big difference."
1071,1,2,INT01,2025-01-26,2,36,4,6,2,4,22000,0,26,3,4,4,3,4,1,0,0,0,0,4,6,3,0,0.0,0,1,1.292,Nothing gets done in the municipality office without paying a bribe,I think CCTV and a local help desk would make people feel secure to step out. A ward committee that meets every month and shares what the municipality is doing.
1072,1,1,INT02,2025-01-26,2,37,3,6,2,1,8000,0,17,4,3,3,3,2,0,0,0,0,0,3,6,3,1,3.0,0,0,0.636,"Mainly stray dogs tear open the garbage bags and it spreads all over the lane. We tried collecting money for a private cleaner but it stopped after two months. Apart from that, during the monsoon the whole road goes under knee-deep water. Snakes and dirty water come inside the house. It has become worse in the last few years.","Mainly CCTV and a local help desk would make people feel secure to step out. On top of that, if people greeted each other and stopped judging tenants."
1073,1,1,INT02,2025-01-26,2,40,3,1,2,2,11500,0,9,8,5,5,2,2,1,0,0,0,0,2,6,3,1,1.0,0,1,0.738,"The streetlight in front of our house has been broken for 8 years. We complained on the Corporation app but the complaint just closed by itself. Along with that, factories around here have closed, so there is no local employment.","Regular get-togethers, even a monthly potluck would help. Second thing, a cleanliness drive where everyone participates, owners and tenants together. A place where women can come together without needing permission from anyone."
1074,1,1,INT02,2025-01-27,2,42,5,6,2,5,77500,1,8,2,3,4,2,2,0,0,0,0,0,1,7,5,1,2.0,0,0,0.603,Kids are stuck indoors on phones because there is no place to play. In June the water came up to our doorstep and ruined the furniture.,"I think neighbours helping each other in emergencies, like it used to be."
1075,1,1,INT03,2025-01-27,3,27,4,2,2,1,11000,1,2,4,2,5,3,1,0,0,0,0,0,3,5,4,1,1.0,0,0,0.813,"traffic ka koi solution nahi hai, office jaane mein hi do ghante lag jaate hai. the nala behind our houses has not been cleaned for years","To be honest, transparency in how ward funds are spent, maybe a notice board. And sports day or a small fair for the children would bring people out of their homes. Along with that, affordable housing near work so that families can settle in one place"
1076,1,1,INT03,2025-01-27,1,41,3,1,2,4,15500,0,34,5,4,2,4,5,1,0,0,0,0,3,8,2,1,1.0,0,0,0.769,"Constant honking, the noise is too much for elderly people. Students cannot study during exam time. And dirty drain water mixes with the drinking water pipe. Mosquitoes are a big problem because of the stagnant water. Along with that, the local officials take money and ignore complaints. Honest people get tired and give up.","For me, if the residents welfare association included tenants and not only owners."
1077,1,1,INT01,2025-01-28,2,33,4,2,2,5,999999,0,24,3,2,3,2,2,1,0,0,0,0,2,7,4,1,1.5,1,0,0.628,People throw waste in the open plot next to our building and it stinks. My children fell sick with dengue last year.,NA
1078,1,2,INT02,2025-01-28,1,45,4,2,2,3,24000,0,21,4,2,9,2,2,1,0,0,0,0,3,9,4,1,2.0,0,0,1.494,"Waterlogging in monsoon is the biggest problem, children cannot go to school.",most important is sports day or a small fair for the children would bring people out of their homes
1079,1,1,INT02,2025-01-28,1,41,6,1,2,4,21500,0,13,5,4,3,4,2,1,1,1,1,0,4,4,4,1,1.5,0,0,0.831,"See, during the monsoon the whole road goes under knee-deep water. We keep our things on bricks and the top shelf all monsoon. Nobody cares.",coaching or skill training centre for the young people of the locality
1080,1,1,INT03,2025-01-28,1,20,4,5,1,5,11500,0,14,3,3,3,5,5,0,0,0,0,0,3,,5,1,2.5,0,0,0.848,Youth unemployment,if we celebrated festivals together as one area instead of separately. and a youth club with sports and computer classes to keep the boys busy
1081,1,2,INT01,2025-01-29,2,32,6,6,2,7,29500,0,8,4,3,3,2,3,1,0,0,1,0,4,5,4,1,2.5,0,0,1.228,Dirty drain water mixes with the drinking water pipe. Children fall sick often with stomach problems. Boys sit near the paan shop at night and pass comments on girls. I have started taking an auto even for a short distance. We are fed up.,"a women's group or self-help group where we can meet and also earn something. also benches and a walking track, that is where you actually meet neighbours"
1082,1,1,INT01,2025-01-30,2,35,3,6,2,5,23500,0,13,4,4,4,8,2,1,0,0,0,0,2,10,4,0,0.0,0,0,0.795,"For me, men drink openly near the empty plot and women avoid that road.","Frankly speaking, a proper WhatsApp group for the para where information is shared, not only forwards."
1083,1,1,INT01,2025-01-30,2,36,3,1,2,4,8500,0,15,4,5,4,3,4,1,0,0,1,0,4,7,2,0,0.0,0,1,0.626,no accountability,"benches and a walking track, that is where you actually meet neighbours. and cctv and a local help desk would make people feel secure to step out"
1084,1,1,INT02,2025-01-30,1,38,6,1,1,1,44500,1,2,1,2,3,2,3,0,0,0,1,0,1,7,3,1,3.0,1,0,0.734,"See, housing is too expensive, young couples cannot afford to live near their parents. Half my salary goes on rent.","Honestly, the association should be run democratically, not by the same two families. I went once but nobody listened to what I said. Along with that, working together on something practical like cleaning the drain would build trust."
1085,1,1,INT02,2025-01-30,2,53,5,6,2,2,20500,1,10,3,5,2,3,3,0,1,0,0,0,1,7,3,1,4.0,1,0,0.575,No parks,"Mainly if I knew I could stay here for more than a year, I would invest in knowing people."
1086,1,1,INT03,2025-01-30,2,27,2,6,2,2,7500,0,4,3,2,3,8,3,1,0,0,0,0,3,6,3,0,0.0,0,0,0.703,Young boys are sitting idle with degrees and no jobs. Some of them fall into bad company. Another thing is old people have nowhere to walk in the evening.,"Honestly, if we planted trees together and looked after them as a group. Another thing is regular get-togethers, even a monthly potluck would help."
1087,1,1,INT03,2025-01-30,2,69,4,7,2,4,26500,1,7,4,4,3,3,4,1,0,0,0,0,4,4,3,0,0.0,0,1,0.878,Mainly young boys are sitting idle with degrees and no jobs.,"most important is a common puja or utsav where everyone contributes, not only the committee. during the pandemic we cooked for each other and it felt like one family. along with that, respect for all communities, the young people are being poisoned by social media. then people would trust each other more"
1088,1,1,INT01,2025-01-31,2,32,3,2,2,6,102500,0,20,5,5,2,4,5,0,0,0,0,0,2,7,3,1,1.0,1,0,0.762,Basically nobody segregates waste and the municipality does not enforce anything.,"Most important is celebrating each other's festivals, Eid, Diwali, Christmas, Pongal, all of them."
1089,1,2,INT03,2025-01-31,1,83,3,2,2,9,14500,0,40,8,3,5,4,4,0,1,0,1,0,4,5,2,0,0.0,0,1,1.476,In summer there is hardly any water in the pipeline for weeks at a time. We have complained to the local body many times but nothing changes.,"transparency in how ward funds are spent, maybe a notice board"
1090,1,1,INT03,2025-01-31,1,31,3,1,1,1,43000,1,5,3,3,4,1,3,0,0,0,1,0,4,6,4,1,6.5,0,0,0.886,"Summer mein paani bilkul nahi aata, daily cans lene padte hai",If the KMC actually responded to complaints I would feel this place is mine.
1091,1,2,INT01,2025-02-01,2,26,4,3,2,5,35500,1,9,4,5,4,3,3,0,0,0,1,0,2,4,3,0,0.0,0,0,1.201,"Actually the deposit they ask is ten months of rent, which ordinary people cannot pay.",Community events on weekends when working people are free. Plus if people accepted us even though we do not speak the local language well.
1092,1,1,INT02,2025-02-01,2,27,5,6,2,5,55500,1,7,2,2,5,3,3,0,0,0,0,0,4,6,4,1,1.5,0,1,0.695,"loudspeakers during every function and procession, nobody can sleep",A place where women can come together without needing permission from anyone. Our self-help group gave me friends and some savings.
1093,1,1,INT02,2025-02-01,1,56,4,1,4,5,36500,0,13,5,5,2,4,4,1,0,0,0,0,3,5,3,1,1.0,0,1,0.733,Educated girls sit at home because there are no suitable jobs. Some of them fall into bad company. It is the same story every year.,প্রতিবেশীরা একটু খোঁজখবর নিলে ভালো লাগত।
1094,1,1,INT03,2025-02-01,2,85,5,3,2,5,23000,0,55,2,3,4,2,2,0,0,0,0,0,4,5,3,0,0.0,0,1,0.659,"There is no proper sewer line, the waste water stands in the lane. The Corporation cleans it once before elections and forgets. Along with that, diesel trucks pass all night and the air is black.","Most important is classes for tailoring or computers for women, we would get to know each other."
1095,1,1,INT01,2025-02-03,1,21,4,1,1,6,62000,0,5,3,3,4,4,9,0,0,0,1,0,2,6,5,1,5.5,0,1,1.167,"For me, waterlogging in monsoon is the biggest problem, children cannot go to school.",no discrimination
1096,1,2,INT03,2025-02-03,2,44,5,3,2,5,999999,0,28,5,4,2,3,5,0,0,1,0,0,3,4,3,1,1.0,0,1,1.003,Cannot say,"See, a place where women can come together without needing permission from anyone. Along with that, a park or common place where people can sit and talk in the evening."
1097,1,2,INT03,2025-02-04,1,30,4,2,1,3,8500,0,20,5,4,1,1,4,1,0,0,0,0,2,8,4,0,0.0,1,0,0.953,Graduates are doing delivery jobs because nothing else is available.,more community events
